report_date,metric,value,trailing_median_28d,trailing_mad_28d,prior_same_weekday_median_8,prior_same_weekday_mad_8,trailing_robust_score,weekday_robust_score,robust_score,is_flagged,method
2013-10-30,new_users,85.0,50.5,22.0,28.0,4.5,1.0577241455428426,8.543549620036872,8.543549620036872,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-04,total_purchase_amt,300027403.0,84189530.5,17309587.0,80344225.0,43597821.0,8.41040577954503,3.398662368320014,8.41040577954503,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-04,total_redeem_amt,130970051.0,46150986.5,13226061.0,45402887.5,7218419.5,4.325526340208118,7.995415214559503,7.995415214559503,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-05,new_users,167.0,67.0,18.0,30.5,5.5,3.7471708859810846,16.73963430337368,16.73963430337368,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-06,new_users,162.0,69.0,17.5,30.0,8.0,3.5844366075041916,11.12909753136382,11.12909753136382,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-07,new_users,126.0,71.0,17.0,26.0,11.0,2.1821759865419255,6.131734177059957,6.131734177059957,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-07,total_purchase_amt,167963464.0,89064959.0,19945609.0,69124761.5,10524153.5,2.6680715820217844,6.334551421632748,6.334551421632748,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-08,new_users,148.0,72.5,15.5,35.5,11.0,3.2854227316440605,6.898200949192451,6.898200949192451,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-10,new_users,274.0,77.0,13.5,42.0,15.0,9.842568860510315,10.43212374657134,10.43212374657134,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-11,total_redeem_amt,227124951.0,51743892.0,15916960.5,45482996.0,11204675.5,7.4318776931512485,10.934347914026027,10.934347914026027,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-21,total_purchase_amt,221166938.0,130679397.0,37300364.0,79648915.0,11104004.0,1.6362577655343937,8.596232387244841,8.596232387244841,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-11-30,total_redeem_amt,119660311.0,80905652.0,21073729.5,30159627.5,9600537.0,1.2403907615007805,6.287917434992373,6.287917434992373,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-12-02,total_purchase_amt,345313258.0,147565020.5,24161496.5,138729451.0,20978074.5,5.52032689268784,6.642119079088806,6.642119079088806,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-12-05,total_redeem_amt,118256819.0,83012186.5,17929531.0,56895877.0,4604530.0,1.3258673047498282,8.988406715078263,8.988406715078263,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-12-18,total_redeem_amt,202220872.0,86540358.0,18648202.0,82625469.0,10740573.5,4.184072960197605,7.510399160657434,7.510399160657434,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-03,total_purchase_amt,342074805.0,193394401.5,40717099.0,143032279.5,19628755.5,2.462934755641644,6.839574938545369,6.839574938545369,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-07,total_purchase_amt,589726496.0,202314877.0,39241858.5,226009249.5,44597622.0,6.658847646814876,5.500829659180504,6.658847646814876,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-08,total_redeem_amt,213880074.0,130973392.5,39539148.0,86540358.0,12865816.0,1.4142892145935766,6.675788131617454,6.675788131617454,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-11,total_purchase_amt,243403438.0,215703188.0,52189293.5,123565650.5,13440913.0,0.35799608324246723,6.013689717720055,6.013689717720055,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-13,new_users,155.0,70.0,5.0,68.0,5.5,11.46634291110212,10.669217468084325,11.46634291110212,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-14,new_users,195.0,70.5,4.5,68.0,2.5,18.6609110121858,34.26413058141104,34.26413058141104,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-15,new_users,176.0,71.0,5.5,64.5,3.5,12.87664177182591,21.487348480468675,21.487348480468675,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-16,new_users,190.0,71.5,6.5,64.0,9.5,12.296485384304082,8.945877441479052,12.296485384304082,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-17,new_users,174.0,72.5,6.5,64.0,9.0,10.53243262874991,8.243775949158387,10.53243262874991,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-18,new_users,151.0,72.5,6.5,71.5,11.5,8.145773018294266,4.662783945946898,8.145773018294266,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-20,new_users,146.0,73.0,12.5,71.0,7.0,3.939026035343316,7.226686708677805,7.226686708677805,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-20,total_redeem_amt,442996084.0,140948524.5,23504272.5,147317785.5,25229343.0,8.667712978787455,7.904775012017254,8.667712978787455,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-21,new_users,116.0,74.5,14.0,69.0,3.0,1.9993833227341928,10.567021898466658,10.567021898466658,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-21,total_redeem_amt,302825136.0,142187827.0,27748163.5,126420220.5,16139846.5,3.904704559913902,7.372033273736501,7.372033273736501,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-22,new_users,107.0,75.0,15.5,65.0,4.5,1.392497051822648,6.295247088448222,6.295247088448222,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-24,total_redeem_amt,345829001.0,148018634.0,30832309.5,125683688.0,18209905.0,4.327319841874772,8.154132564699418,8.154132564699418,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-26,total_purchase_amt,528402520.0,338917916.0,98579551.5,173277684.5,32678862.5,1.2964718596947753,7.329766144871044,7.329766144871044,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-01-28,new_users,113.0,98.0,23.5,69.0,3.0,0.43052601668718843,9.892531138990062,9.892531138990062,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-02-07,new_users,165.0,104.5,22.0,76.0,9.5,1.8548495885606369,6.318913430885997,6.318913430885997,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-02-11,new_users,149.0,110.0,35.0,70.0,6.5,0.7515754177024918,8.197656922869388,8.197656922869388,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-02-13,total_purchase_amt,626698794.0,366601275.5,171660249.0,257164922.0,33091079.5,1.0219801836069968,7.532156271227324,7.532156271227324,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-02-14,new_users,211.0,110.0,33.0,83.0,13.5,2.064350506276852,6.395171645407717,6.395171645407717,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-02-15,new_users,238.0,110.0,33.0,83.5,16.0,2.616206582212248,6.5130513961958725,6.5130513961958725,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-04-07,total_redeem_amt,176966561.0,312143043.5,95699292.5,434789335.0,19958384.5,0.9527268798230633,8.713083899431968,8.713083899431968,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-05-04,total_redeem_amt,413222034.0,238889711.5,49232859.5,189179344.0,22627361.0,2.3883548873358396,6.678406913350584,6.678406913350584,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-14,total_redeem_amt,229916191.0,255574602.5,57740387.0,146811634.0,2453416.5,0.2997271469551807,22.847019968642094,22.847019968642094,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-16,total_redeem_amt,492349489.0,255574602.5,52815906.0,293872157.0,10905314.5,3.0237571427889476,12.275769433294961,12.275769433294961,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-21,total_redeem_amt,231003775.0,285769662.5,62864627.0,150829098.0,6134295.0,0.5875972994047156,8.815532800512644,8.815532800512644,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-22,total_redeem_amt,361285652.0,285769662.5,55309679.5,161482675.5,21043062.0,0.9209027709242391,6.404261003706082,6.404261003706082,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-28,total_redeem_amt,283400236.0,292855088.5,93355722.5,150829098.0,6470880.5,0.06831087021434797,13.818522464492508,13.818522464492508,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-06-30,total_redeem_amt,456547794.0,292855088.5,74677549.5,293872157.0,17311604.5,1.4784793822603088,6.338130815573387,6.338130815573387,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-07-05,total_redeem_amt,272535138.0,293599902.5,73932735.5,150829098.0,6470880.5,0.19217453418588334,12.686001441764978,12.686001441764978,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2014-08-29,new_users,72.0,45.5,5.5,39.0,3.0,3.249819113841777,7.419398354242547,7.419398354242547,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
