report_date,users,new_users,total_purchase_amt,total_redeem_amt
2013-10-08,1765,26,109806912,77856096
2013-10-09,1780,24,72422299,33999376
2013-10-10,1795,27,72094613,52244531
2013-10-11,1823,40,82674757,27666473
2013-10-12,1846,47,81901136,31322983
2013-10-13,1880,67,71149981,31850475
2013-10-14,1910,62,130315300,40652625
2013-10-15,1966,71,85704304,35099198
2013-10-16,2002,65,100948091,51261982
2013-10-17,2105,121,87203217,23274764
2013-10-18,2129,82,98151450,15938355
2013-10-19,2170,88,53148443,26684697
2013-10-20,2231,97,47766681,50884342
2013-10-21,2270,88,106030290,45781403
2013-10-22,2319,89,145611496,96172537
2013-10-23,2333,57,106093112,73788462
2013-10-24,2366,67,69530830,58183921
2013-10-25,2366,40,69936453,52225802
2013-10-26,2379,37,55752506,49357211
2013-10-27,2396,47,68007543,46520570
2013-10-28,2426,54,129993375,55089464
2013-10-29,2470,71,102050144,43052468
2013-10-30,2524,85,109663260,63908701
2013-10-31,2558,76,90926701,55607833
2013-11-01,2627,80,150904945,66933119
2013-11-02,2656,74,62132300,26705506
2013-11-03,2663,49,68707870,30895754
2013-11-04,2734,78,300027403,130970051
2013-11-05,2950,167,180904814,82689864
2013-11-06,3061,162,181474910,131707820
2013-11-07,3183,126,167963464,83306452
2013-11-08,3280,148,231749471,92856307
2013-11-09,3367,133,126467028,45885771
2013-11-10,3673,274,164813471,85293644
2013-11-11,3556,55,147986439,227124951
2013-11-12,3484,69,148469647,131263524
2013-11-13,3527,72,174554976,79121440
2013-11-14,3528,55,167996058,52554150
2013-11-15,3562,54,124270704,58210254
2013-11-16,3604,59,118085705,28996272
2013-11-17,3630,62,111786622,42358155
2013-11-18,3685,58,195766477,136916782
2013-11-19,3725,66,131365419,70308235
2013-11-20,3766,61,166163002,86951218
2013-11-21,3773,45,221166938,74733962
2013-11-22,3801,54,128528687,82717921
2013-11-23,3885,94,89109018,48882131
2013-11-24,3910,73,102394991,85555947
2013-11-25,3964,91,147143602,70113127
2013-11-26,4001,78,258037702,65802983
2013-11-27,4033,65,134774128,86129498
2013-11-28,4049,56,139760425,61453591
2013-11-29,4092,60,122536344,123982166
2013-11-30,4139,72,116865492,119660311
2013-12-01,4186,77,137889992,94632233
2013-12-02,4240,73,345313258,128465086
2013-12-03,4266,65,268666856,101662045
2013-12-04,4292,61,219456372,69981329
2013-12-05,4334,75,190825287,118256819
2013-12-06,4341,44,152197159,82625571
2013-12-07,4362,44,138882605,71916047
2013-12-08,4391,59,124886903,76314292
2013-12-09,4428,62,174652812,133355299
2013-12-10,4473,69,179471612,147147341
2013-12-11,4518,64,239916977,110314592
2013-12-12,4563,64,140360007,92090275
2013-12-13,4577,72,164672690,90778214
2013-12-14,4599,51,129045596,52234651
2013-12-15,4648,72,205882387,54757146
2013-12-16,4675,60,196489931,156157326
2013-12-17,4717,67,193980797,116537843
2013-12-18,4752,65,180215804,202220872
2013-12-19,4783,64,233631357,164023344
2013-12-20,4854,80,133867400,153678963
2013-12-21,4890,73,112000779,83151594
2013-12-22,4935,73,154543217,83998249
2013-12-23,4979,70,198747367,138478245
2013-12-24,5010,71,305406334,118607911
2013-12-25,5045,70,380076148,172755480
2013-12-26,5077,57,220287409,241852564
2013-12-27,5117,67,211118967,163522548
2013-12-28,5155,69,192808006,61383220
2013-12-29,5176,58,161473347,55129989
2013-12-30,5238,72,286358778,179826624
2013-12-31,5258,60,265851934,134232530
2014-01-01,5293,59,330926565,77367755
2014-01-02,5340,75,434956739,190155450
2014-01-03,5374,61,342074805,127714255
2014-01-04,5414,71,186085910,99869074
2014-01-05,5483,79,206030707,156781996
2014-01-06,5514,66,442494042,190917629
2014-01-07,5560,69,589726496,137972793
2014-01-08,5621,74,264025160,213880074
2014-01-09,5646,75,280698487,140391237
2014-01-10,5701,86,237797636,117259153
2014-01-11,5764,94,243403438,71530182
2014-01-12,5836,104,228255344,141505812
2014-01-13,5945,155,447207050,178923772
2014-01-14,6076,195,356907128,159778389
2014-01-15,6136,176,391408718,177618247
2014-01-16,6215,190,374947083,153167426
2014-01-17,6241,174,345426853,127385210
2014-01-18,6268,151,233200688,142869842
2014-01-19,6268,117,185082022,117629351
2014-01-20,6353,146,335761027,442996084
2014-01-21,6382,116,412854611,302825136
2014-01-22,6406,107,498730606,292856188
2014-01-23,6428,95,481450097,209024328
2014-01-24,6467,90,614103894,345829001
2014-01-25,6526,101,440854623,185524856
2014-01-26,6600,117,528402520,331752519
2014-01-27,6626,103,657199484,280645861
2014-01-28,6683,113,843424742,248334316
2014-01-29,6735,106,952479658,215164666
2014-01-30,6749,75,227916211,105288105
2014-01-31,6783,72,87324175,48132389
2014-02-01,6780,60,64287172,61527060
2014-02-02,6793,61,57912761,24395720
2014-02-03,6831,79,84329848,46109194
2014-02-04,6850,68,83653646,44927333
2014-02-05,6883,75,209043990,95407704
2014-02-06,6940,105,227860276,111635336
2014-02-07,7075,165,578818221,273482213
2014-02-08,7133,154,358255468,183432237
2014-02-09,7188,141,341911234,262954049
2014-02-10,7306,178,647465140,431753411
2014-02-11,7358,149,818803205,243058162
2014-02-12,7443,154,763009770,354585919
2014-02-13,7479,136,626698794,362757986
2014-02-14,7604,211,490710434,263261899
2014-02-15,7669,238,255393179,121463693
2014-02-16,7721,222,331324628,183057224
2014-02-17,7826,259,706118060,405809267
2014-02-18,7889,224,593563145,271125324
2014-02-19,7900,197,408367966,323990451
2014-02-20,8005,215,478925191,230855410
2014-02-21,8065,193,353981687,178914448
2014-02-22,8079,172,282022706,134735118
2014-02-23,8158,177,337053711,195214052
2014-02-24,8280,216,656317045,473470156
2014-02-25,8344,183,563505889,299155352
2014-02-26,8402,180,680801145,284819682
2014-02-27,8440,140,672909288,492786036
2014-02-28,8454,112,428721754,322030204
2014-03-01,8491,76,362865580,211279011
2014-03-02,8532,95,276202230,246199417
2014-03-03,8595,100,505305862,513017360
2014-03-04,8638,92,524146340,250562978
2014-03-05,8682,85,454295491,209072753
2014-03-06,8748,91,561787770,243149884
2014-03-07,8789,104,380139779,291087220
2014-03-08,8823,79,243274169,140323202
2014-03-09,8858,84,244752519,206312503
2014-03-10,8887,70,497338076,308040624
2014-03-11,8940,77,430500816,496039886
2014-03-12,8990,80,377007897,416491268
2014-03-13,9019,80,346286910,316973542
2014-03-14,9063,65,315897431,311575572
2014-03-15,9092,80,287407002,242799048
2014-03-16,9111,67,269387391,390584547
2014-03-17,9167,67,339008082,440624592
2014-03-18,9178,70,435479117,410240726
2014-03-19,9245,89,359014064,429298917
2014-03-20,9313,97,365011495,336076380
2014-03-21,9341,101,282351818,259655286
2014-03-22,9352,75,191700135,138039412
2014-03-23,9394,69,167456369,186443311
2014-03-24,9469,100,313180334,437825259
2014-03-25,9493,72,314345006,312710515
2014-03-26,9512,70,272935544,450254233
2014-03-27,9553,79,266231082,359071642
2014-03-28,9579,81,225966355,405443946
2014-03-29,9637,85,160250985,155006056
2014-03-30,9674,88,205533934,264714811
2014-03-31,9738,93,398884905,423852634
2014-04-01,9798,102,453320585,277429358
2014-04-02,9812,98,355347118,272612066
2014-04-03,9873,114,363877120,266605457
2014-04-04,9858,91,251895894,200192637
2014-04-05,9864,75,202336542,163199682
2014-04-06,9885,68,129477254,139576683
2014-04-07,9922,82,196936223,176966561
2014-04-08,9951,70,354770149,250015131
2014-04-09,10001,68,383347565,289330278
2014-04-10,10042,77,386567460,286914864
2014-04-11,10074,72,237829882,277077434
2014-04-12,10066,55,177642053,123295320
2014-04-13,10138,80,208172985,178934722
2014-04-14,10165,87,309853269,415986984
2014-04-15,10181,67,428681231,285293076
2014-04-16,10206,68,387847838,255914640
2014-04-17,10215,62,355792647,265341592
2014-04-18,10251,65,239300383,225952909
2014-04-19,10263,63,268729366,146374940
2014-04-20,10280,58,191259529,161057781
2014-04-21,10318,70,301134667,295635256
2014-04-22,10304,48,285248757,268810141
2014-04-23,10330,45,313677307,278470936
2014-04-24,10373,64,318358891,224536754
2014-04-25,10409,60,220927432,227764292
2014-04-26,10421,52,151625415,158122962
2014-04-27,10446,63,146837951,191915377
2014-04-28,10484,71,324937272,327724735
2014-04-29,10457,43,330607104,307578349
2014-04-30,10492,43,260091330,281835975
2014-05-01,10513,54,193045106,143362755
2014-05-02,10516,40,125336258,121222064
2014-05-03,10526,56,185094488,199568043
2014-05-04,10555,50,303087562,413222034
2014-05-05,10612,71,370924149,309330781
2014-05-06,10624,45,318002728,341108696
2014-05-07,10656,69,417327518,239372999
2014-05-08,10671,43,392838756,273187499
2014-05-09,10715,71,281479009,247743971
2014-05-10,10705,50,287240171,147248328
2014-05-11,10753,74,182424063,152945581
2014-05-12,10767,51,325108597,293952908
2014-05-13,10788,56,275241493,257918375
2014-05-14,10790,53,305474522,316225442
2014-05-15,10824,53,313367089,238307643
2014-05-16,10849,51,231967423,282094916
2014-05-17,10868,56,170983868,145854372
2014-05-18,10874,48,164419642,153440019
2014-05-19,10914,48,259077930,293791406
2014-05-20,10930,51,453955303,260040720
2014-05-21,10971,65,297799722,250223726
2014-05-22,10999,68,344636549,251108485
2014-05-23,11029,76,249546195,229000787
2014-05-24,11039,45,160073254,154409868
2014-05-25,11053,52,166943526,231004758
2014-05-26,11082,55,344890868,274707572
2014-05-27,11084,50,299049555,321965845
2014-05-28,11081,39,276134813,415891684
2014-05-29,11093,35,320549863,313827800
2014-05-30,11100,39,226547701,312802179
2014-05-31,11110,32,146823669,142862063
2014-06-01,11116,26,183489775,149829253
2014-06-02,11141,45,158219402,170409506
2014-06-03,11180,47,270887462,385622582
2014-06-04,11178,34,274460744,303978838
2014-06-05,11221,57,380042567,355645445
2014-06-06,11234,42,301413900,274862067
2014-06-07,11237,33,187801995,146203577
2014-06-08,11241,38,302171269,169525332
2014-06-09,11292,52,366114374,287520152
2014-06-10,11299,42,354031597,298190025
2014-06-11,11333,51,327661453,246127540
2014-06-12,11349,52,332365185,236467885
2014-06-13,11379,53,216923770,386799040
2014-06-14,11390,46,181574530,229916191
2014-06-15,11407,42,166080126,116623756
2014-06-16,11433,48,387308484,492349489
2014-06-17,11451,63,270350693,502560223
2014-06-18,11487,56,335262709,421920230
2014-06-19,11497,46,338609087,284956260
2014-06-20,11502,54,251582530,286583065
2014-06-21,11528,61,177999186,231003775
2014-06-22,11541,42,147180819,361285652
2014-06-23,11562,40,232227670,373779624
2014-06-24,11577,40,245450766,428471509
2014-06-25,11594,46,264663201,547295931
2014-06-26,11622,62,297628039,418742109
2014-06-27,11616,42,264282703,399444352
2014-06-28,11630,37,153826161,283400236
2014-06-29,11627,33,158801540,261170799
2014-06-30,11682,50,334054112,456547794
2014-07-01,11718,60,384428753,374164541
2014-07-02,11716,49,384555819,328950951
2014-07-03,11734,52,297894643,289009780
2014-07-04,11718,48,211649838,264494550
2014-07-05,11736,54,169383796,272535138
2014-07-06,11734,45,199569025,195530758
2014-07-07,11770,45,272182847,317612569
2014-07-08,11771,40,224240103,340453063
2014-07-09,11772,46,278005555,269642881
2014-07-10,11782,39,283095921,326009240
2014-07-11,11804,37,208671021,240050748
2014-07-12,11823,47,177644343,149081488
2014-07-13,11871,64,179759885,199459990
2014-07-14,11902,62,254797524,284753279
2014-07-15,11901,48,334810012,261722182
2014-07-16,11916,57,394890140,234775948
2014-07-17,11915,60,253011280,298279385
2014-07-18,11924,55,208959595,208671287
2014-07-19,11940,56,210318023,155464283
2014-07-20,11961,54,176449304,174462836
2014-07-21,11987,50,378088594,434191479
2014-07-22,12020,52,243084133,369043423
2014-07-23,12017,49,265461894,308353077
2014-07-24,12030,57,277044480,347622431
2014-07-25,12009,37,181641088,262874791
2014-07-26,12028,39,128268053,282653341
2014-07-27,12040,50,151406251,166610652
2014-07-28,12083,53,371762756,345986909
2014-07-29,12073,35,228093046,303480103
2014-07-30,12089,54,209917272,250117716
2014-07-31,12101,48,191728916,277194379
2014-08-01,12111,38,374884735,252540858
2014-08-02,12103,39,189092130,172250225
2014-08-03,12136,50,173825397,127125217
2014-08-04,12157,40,330640884,322907524
2014-08-05,12174,44,394780870,221706539
2014-08-06,12189,41,288821016,282346594
2014-08-07,12204,45,247646474,253659514
2014-08-08,12195,30,233903717,311648757
2014-08-09,12225,44,160262764,163611708
2014-08-10,12227,42,259534870,189909225
2014-08-11,12266,42,331550471,418603336
2014-08-12,12307,57,258493673,309754858
2014-08-13,12314,62,261506619,303975517
2014-08-14,12301,37,257702660,211939431
2014-08-15,12316,40,244551620,236516007
2014-08-16,12346,46,215059736,219214339
2014-08-17,12370,51,149978271,139564084
2014-08-18,12401,50,298499146,259169016
2014-08-19,12411,51,266401973,254929877
2014-08-20,12436,55,308378692,202452782
2014-08-21,12436,42,251763517,219963356
2014-08-22,12446,43,246316056,179349206
2014-08-23,12459,48,141412027,199377531
2014-08-24,12471,51,130195484,191080151
2014-08-25,12508,60,309574223,312413411
2014-08-26,12517,60,306945089,285478563
2014-08-27,12527,52,302194801,468164147
2014-08-28,12557,47,245082751,297893861
2014-08-29,12596,72,267554713,273756380
2014-08-30,12603,60,199708772,196374134
2014-08-31,12614,56,275090213,292943033
