report_date,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,share_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,tBalance,yBalance,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,is_shibor_observed,days_since_observation
2013-07-11,44075197,44021031,38701392,5319639,54166,3508800,981695,2527105,2527105,0,501939511,461373114,1.2616,4.959,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,True,0
2013-07-12,34183904,34126845,28358933,5767912,57059,8492573,1371072,7121501,7121501,0,527630842,501939511,1.2487,4.884,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,True,0
2013-07-13,15164717,15103661,8461168,6642493,61056,3482829,309654,3173175,3173175,0,539312730,527630842,1.2396,4.815,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,False,1
2013-07-14,22615303,22554354,18447507,4106847,60949,2784107,592038,2192069,2192069,0,559143926,539312730,1.2394,4.745,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,False,2
2013-07-15,48128555,48069686,28401224,19668462,58869,13107943,1521794,11586149,11586149,0,594164538,559143926,1.1985,4.682,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,True,0
2013-07-16,50622847,50559618,39657799,10901819,63229,11864981,1529687,10335294,10335294,0,632922404,594164538,1.2214,4.634,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4,True,0
2013-07-17,29015682,28946382,25167271,3779111,69300,10911513,2109498,8802015,8802015,0,651026573,632922404,1.1829,4.582,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,True,0
2013-07-18,24234505,24160561,12633212,11527349,73944,11765356,3195410,8569946,8569946,0,663495722,651026573,1.1896,4.543,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,True,0
2013-07-19,33680124,33603190,25296006,8307184,76934,9244769,1204252,8040517,8040517,0,687931077,663495722,1.2032,4.518,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,True,0
2013-07-20,20439079,20360981,14965131,5395850,78098,4601143,1780862,2820281,2820281,0,703769013,687931077,1.1964,4.494,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,False,1
2013-07-21,21142394,21064648,14155152,6909496,77746,2681331,761299,1920032,1920032,0,722230076,703769013,1.1962,4.471,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,False,2
2013-07-22,40448896,40374049,33166661,7207388,74847,19144267,605231,18539036,18539036,0,743534705,722230076,1.1547,4.447,3.1035,3.925,4.099,4.806,4.6515,4.2173,4.27,4.4,True,0
2013-07-23,58136147,58056583,48105087,9951496,79564,24404051,2173231,22230820,22230820,0,777266801,743534705,1.1826,4.426,3.1355,3.959,4.11,4.99,4.6517,4.2173,4.27,4.4,True,0
2013-07-24,48422518,48337561,38512434,9825127,84957,36258592,712047,35546545,35546545,0,789430727,777266801,1.1805,4.424,3.23,4.011,4.131,5.293,4.661,4.2189,4.27,4.4,True,0
2013-07-25,57433418,57347209,42064761,15282448,86209,38212836,1557611,36655225,36655225,0,808651309,789430727,1.1645,4.411,3.3495,4.132,4.258,5.468,4.6601,4.2185,4.27,4.4,True,0
2013-07-26,44721817,44633279,33299638,11333641,88538,39192369,1035450,38156919,38156919,0,814180757,808651309,1.1777,4.397,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,True,0
2013-07-27,17194451,17102400,10482577,6619823,92051,15058893,1922114,13136779,13136779,0,816316315,814180757,1.1728,4.384,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,False,1
2013-07-28,36255382,36164421,32964064,3200357,90961,7683211,1161872,6521339,6521339,0,844888486,816316315,1.1726,4.371,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,False,2
2013-07-29,53512076,53423360,41820041,11603319,88716,18599364,1202332,17397032,17397032,0,879801198,844888486,1.1515,4.369,3.703,5.057,5.5,5.988,4.671,4.2201,4.27,4.4,True,0
2013-07-30,47481243,47387817,33779762,13608055,93426,13048582,1318647,11729935,11729935,0,914233859,879801198,1.1958,4.377,3.641,4.972,5.34,5.889,4.667,4.2203,4.27,4.4,True,0
2013-07-31,54569637,54465204,46575247,7889957,104433,9534040,1191442,8342598,8342598,0,959269456,914233859,1.2088,4.392,3.699,4.971,5.453,5.34,4.6645,4.2199,4.27,4.4,True,0
2013-08-01,53369962,53261431,29717147,23544284,108531,18864468,1935577,16928891,16928891,0,993774950,959269456,1.2026,4.413,3.549,4.545,5.36,4.846,4.6635,4.2193,4.27,4.4,True,0
2013-08-02,38064536,37949861,25198904,12750957,114675,40150769,1140935,39009834,39009834,0,991688717,993774950,1.222,4.437,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,True,0
2013-08-03,21595789,21479421,10093238,11386183,116368,20701797,1725397,18976400,18976400,0,992582709,991688717,1.2154,4.46,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,False,1
2013-08-04,45745254,45630463,41159712,4470751,114791,8263965,1389042,6874923,6874923,0,1030063998,992582709,1.2152,4.483,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,False,2
2013-08-05,43632203,43520180,18112798,25407382,112023,15797507,1757807,14039700,14039700,0,1057898694,1030063998,1.1875,4.503,3.1,4.356,4.31,4.575,4.655,4.2198,4.27,4.4,True,0
2013-08-06,50866184,50749514,38122413,12627101,116670,16401387,2956008,13445379,13445379,0,1092363491,1057898694,1.204,4.507,3.1,4.066,4.549,4.6005,4.6538,4.2193,4.27,4.4,True,0
2013-08-07,43908081,43781998,29774898,14007100,126083,29708706,1552975,28155731,28155731,0,1106562866,1092363491,1.2118,4.509,3.1005,3.873,4.361,4.58,4.6515,4.2197,4.27,4.4,True,0
2013-08-08,44493490,44364177,32476695,11887482,129313,29551691,1136867,28414824,28414824,0,1121504665,1106562866,1.2155,4.516,3.1641,3.7585,4.42,4.595,4.6504,4.2198,4.27,4.4,True,0
2013-08-09,33425186,33294291,26619531,6674760,130895,30131015,3500833,26630182,26630182,0,1124798836,1121504665,1.2174,4.513,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,True,0
2013-08-10,20615307,20482505,15003071,5479434,132802,26614408,1290443,25323965,25323965,0,1118799735,1124798836,1.2128,4.512,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,False,1
2013-08-11,55519543,55388879,49401320,5987559,130664,15372680,925608,14447072,14447072,0,1158946598,1118799735,1.2126,4.511,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,False,2
2013-08-12,94520502,94394024,77433832,16960192,126478,28586669,2062992,26523677,26523677,0,1224880431,1158946598,1.1886,4.511,2.9645,3.648,4.168,4.5,4.65,4.22,4.27,4.4,True,0
2013-08-13,48720919,48590757,28460439,20130318,130162,28790328,3646077,25144251,25144251,0,1244810922,1224880431,1.2143,4.517,3.2253,3.702,4.16,4.524,4.65,4.2198,4.27,4.4,True,0
2013-08-14,30541167,30394880,22991641,7403239,146287,15031683,2060843,12970840,12970840,0,1260320406,1244810922,1.2201,4.521,3.435,3.855,4.16,4.505,4.65,4.2198,4.27,4.4,True,0
2013-08-15,42421222,42271280,30267955,12003325,149942,52659327,6412165,46247162,46247162,0,1250082301,1260320406,1.2184,4.523,3.283,3.994,4.119,4.517,4.6502,4.2198,4.27,4.4,True,0
2013-08-16,41683536,41535972,29961502,11574470,147564,33739844,1588741,32151103,32151103,0,1258025993,1250082301,1.219,4.524,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,True,0
2013-08-17,17670519,17522875,10792404,6730471,147644,4674983,1555761,3119222,3119222,0,1271021529,1258025993,1.215,4.525,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,False,1
2013-08-18,59703092,59555804,48363051,11192753,147288,15218300,1049130,14169170,13607144,562026,1315506321,1271021529,1.2148,4.526,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,False,2
2013-08-19,109184209,109039743,93558910,15480833,144466,28339260,2827001,25512259,24585884,926375,1396351270,1315506321,1.1987,4.532,3.403,4.092,5.156,4.925,4.6573,4.2198,4.27,4.4,True,0
2013-08-20,53675509,53525266,32336915,21188351,150243,30131225,2331156,27800069,22614527,5185542,1419895554,1396351270,1.2288,4.54,3.854,4.428,5.467,5.218,4.6636,4.2198,4.2701,4.4,True,0
2013-08-21,38184446,38016570,22840717,15175853,167876,29983342,1487466,28495876,28056688,439188,1428096658,1419895554,1.2307,4.545,3.517,4.219,5.4,5.04,4.658,4.2198,4.27,4.4,True,0
2013-08-22,89130737,88961196,75601493,13359703,169541,25000672,2011337,22989335,4751853,18237482,1492226723,1428096658,1.2187,4.546,3.357,4.115,5.046,4.968,4.662,4.2198,4.27,4.4,True,0
2013-08-23,37878575,37707135,21923609,15783526,171440,25680323,2928413,22751910,16963681,5788229,1504424975,1492226723,1.2236,4.548,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,True,0
2013-08-24,44367268,44188538,32022342,12166196,178730,14316598,3151997,11164601,5951141,5213460,1534475645,1504424975,1.2204,4.551,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,False,1
2013-08-25,43306288,43128521,28531519,14597002,177767,18117808,1946279,16171529,8774008,7397521,1559664125,1534475645,1.2202,4.554,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,False,2
2013-08-26,74496541,74325753,50885562,23440191,170788,20637986,3918170,16719816,7070763,9649053,1613522680,1559664125,1.185,4.546,3.037,4.023,5.196,5.007,4.6619,4.2198,4.2701,4.4,True,0
2013-08-27,45268028,45089370,33855884,11233486,178658,60137633,1713586,58424047,5683840,52740207,1598653075,1613522680,1.2131,4.538,3.006,4.209,5.382,4.974,4.6609,4.2198,4.2701,4.4,True,0
2013-08-28,46602319,46414328,26923896,19490432,187991,33696861,3193850,30503011,27302135,3200876,1611558533,1598653075,1.213,4.528,3.098,4.259,5.015,4.929,4.6586,4.2198,4.2701,4.4,True,0
2013-08-29,47518666,47312464,36868023,10444441,206202,35944968,9618879,26326089,6450910,19875179,1623132231,1611558533,1.3194,4.583,2.957,4.318,4.4,4.903,4.658,4.2198,4.2701,4.4,True,0
2013-08-30,56488844,56266206,37466526,18799680,222638,20630752,7687108,12943644,6673809,6269835,1658990323,1623132231,1.4113,4.686,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,True,0
2013-08-31,47655303,47459849,25669538,21790311,195454,22012016,3582164,18429852,16052130,2377722,1684633610,1658990323,1.2201,4.685,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,False,1
2013-09-01,56239802,56045782,36564187,19481595,194020,59339949,8984938,50355011,4349781,46005230,1681533463,1684633610,1.2199,4.685,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,False,2
2013-09-02,140844739,140622201,103991419,36630782,222538,17785524,4903664,12881860,6708784,6173076,1804592678,1681533463,1.4475,4.829,3.0188,3.742,4.15,4.6,4.6561,4.2198,4.2701,4.4,True,0
2013-09-03,80507880,80314060,51070577,29243483,193820,39328144,3826502,35501642,13629313,21872329,1845772414,1804592678,1.2339,4.84,3.0006,3.75,3.763,4.523,4.6558,4.2198,4.2701,4.4,True,0
2013-09-04,33366708,33149101,22039123,11109978,217607,27452600,5123201,22329399,4079727,18249672,1851686522,1845772414,1.2349,4.852,3.005,3.498,3.747,4.581,4.6566,4.2198,4.2701,4.4,True,0
2013-09-05,38716505,38491932,18051917,20440015,224573,21800904,4026090,17774814,5870621,11904193,1868602123,1851686522,1.2374,4.807,2.89,3.456,3.705,4.574,4.6566,4.22,4.2703,4.4,True,0
2013-09-06,38923186,38648043,17570388,21077655,275143,33417903,2960086,30457817,16081369,14376448,1874107406,1868602123,1.5058,4.859,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,True,0
2013-09-07,34076183,33848786,19377542,14471244,227397,20344424,4674119,15670305,8126616,7543689,1887839165,1874107406,1.2415,4.87,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,False,1
2013-09-08,38796909,38571047,23022708,15548339,225862,14919122,3458751,11460371,6590099,4870272,1911716952,1887839165,1.2381,4.88,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,False,2
2013-09-09,49312473,49051334,28145783,20905551,261139,45621186,5640803,39980383,22470137,17510246,1915408239,1911716952,1.44,4.876,2.92,3.554,3.714,4.598,4.6564,4.2198,4.27,4.4,True,0
2013-09-10,94684143,94427415,59214774,35212641,256728,37128363,4737939,32390424,14101974,18288450,1972964019,1915408239,1.4214,4.979,2.8955,3.625,3.746,4.862,4.6549,4.2198,4.27,4.4,True,0
2013-09-11,98944459,98709145,71068310,27640835,235314,71674082,4887487,66786595,8915582,57871013,2000234396,1972964019,1.2527,4.989,3.014,3.482,3.767,5.138,4.6559,4.2198,4.27,4.4,True,0
2013-09-12,68573684,68334304,43875535,24458769,239380,45147220,6134732,39012488,6425604,32586884,2023660860,2000234396,1.2598,5.001,2.967,3.494,3.8,5.374,4.6563,4.2198,4.27,4.4,True,0
2013-09-13,71655946,71385620,41601351,29784269,270326,60512675,6513431,53999244,23753632,30245612,2034804131,2023660860,1.3805,4.932,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,True,0
2013-09-14,30975443,30726657,14850336,15876321,248786,36312660,2449865,33862795,9025416,24837379,2029466914,2034804131,1.2613,4.943,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,False,1
2013-09-15,37059683,36813279,22142657,14670622,246404,25020715,2993592,22027123,15270867,6756256,2041505882,2029466914,1.2611,4.956,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,False,2
2013-09-16,161656210,161382323,134330619,27051704,273887,45184589,4585488,40599101,10354185,30244916,2157977503,2041505882,1.4143,4.942,3.008,3.469,3.592,5.67,4.6569,4.22,4.27,4.4,True,0
2013-09-17,76204815,75960756,50504307,25456449,244059,58260798,3075100,55185698,18859824,36325874,2175921520,2157977503,1.2495,4.848,3.493,3.583,3.64,5.836,4.6579,4.22,4.27,4.4,True,0
2013-09-18,42926608,42645589,27232465,15413124,281019,47203221,2788140,44415081,23818473,20596608,2171644907,2175921520,1.3366,4.894,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,True,0
2013-09-19,24778048,24509091,12890601,11618490,268957,11418512,2197881,9220631,6772365,2448266,2185004443,2171644907,1.2594,4.893,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,1
2013-09-20,28365762,28094290,18054480,10039810,271472,15188254,2462918,12725336,3457926,9267410,2198181951,2185004443,1.2592,4.827,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,2
2013-09-21,32406340,32133842,18601415,13532427,272498,26596179,2655841,23940338,17880107,6060231,2203992112,2198181951,1.2569,4.825,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,3
2013-09-22,67514169,67243692,36029859,31213833,270477,47962055,4795752,43166303,22340098,20826205,2223544226,2203992112,1.2567,4.822,3.573,3.991,4.007,5.948,4.6617,4.22,4.27,4.4,True,0
2013-09-23,54658160,54396879,22328835,32068044,261281,58285879,13664826,44621053,30024517,14596536,2219916507,2223544226,1.2346,4.724,3.815,4.232,4.35,6.004,4.6717,4.22,4.27,4.4,True,0
2013-09-24,74250859,73973408,48700610,25272798,277451,56680792,6876331,49804461,22552195,27252266,2237486574,2219916507,1.3281,4.767,3.6144,4.44,4.8033,6.1089,4.6731,4.22,4.27,4.4,True,0
2013-09-25,47274168,46973702,20104663,26869039,300466,74838162,3878952,70959210,41253857,29705353,2209922580,2237486574,1.3895,4.796,3.347,3.916,5.1825,5.856,4.6715,4.22,4.27,4.4,True,0
2013-09-26,68718693,68406175,50986446,17419729,312518,48467529,8338252,40129277,21599517,18529760,2230173744,2209922580,1.4449,4.897,3.112,4.055,5.571,5.435,4.6732,4.22,4.27,4.4,True,0
2013-09-27,42166121,41868120,27267839,14600281,298001,27639603,3797939,23841664,11564733,12276931,2244700262,2230173744,1.3799,4.963,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,True,0
2013-09-28,39995798,39706452,14563705,25142747,289346,58105720,6761391,51344329,16876243,34468086,2226590340,2244700262,1.3138,4.994,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,False,1
2013-09-29,34433848,34151131,14055266,20095865,282717,40295202,6378811,33916391,22588058,11328333,2220728986,2226590340,1.3136,5.026,3.15,3.749,5.778,5.3,4.6732,4.22,4.27,4.4,True,0
2013-09-30,28398050,28118755,8182452,19936303,279295,30181353,9842291,20339062,14254160,6084902,2218945683,2220728986,1.3162,5.07,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,True,0
2013-10-01,19137499,18857154,6502928,12354226,280345,12813267,2004563,10808704,7433180,3375524,2225269915,2218945683,1.3181,5.065,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,1
2013-10-02,11562708,11272068,4072819,7199249,290640,7233874,2386169,4847705,2880222,1967483,2229598749,2225269915,1.3179,5.026,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,2
2013-10-03,10101194,9809448,4241086,5568362,291746,6223263,1502285,4720978,1589382,3131596,2233476680,2229598749,1.3177,4.956,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,3
2013-10-04,19907689,19615445,8598422,11017023,292244,23412350,4280664,19131686,11492105,7639581,2229972019,2233476680,1.3175,4.922,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,4
2013-10-05,26364686,26074038,16185006,9889032,290648,13966453,1514007,12452446,10249721,2202725,2242370252,2229972019,1.3173,4.924,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,5
2013-10-06,38730653,38442637,26616850,11825787,288016,13464528,2931570,10532958,8922594,1610364,2267636377,2242370252,1.3111,4.922,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,6
2013-10-07,42797733,42511148,29976033,12535115,286585,28894400,6620676,22273724,7474553,14799171,2281539710,2267636377,1.3109,4.919,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,7
2013-10-08,109806912,109484867,70814343,38670524,322045,77856096,7122908,70733188,11651151,59082037,2313490526,2281539710,1.4756,5.006,3.052,4.393,4.78,5.178,4.6685,4.22,4.27,4.4,True,0
2013-10-09,72422299,72136946,38830790,33306156,285353,33999376,8883001,25116375,10678490,14437885,2351913449,2313490526,1.2935,4.992,3.232,4.502,4.816,5.213,4.6682,4.22,4.27,4.4,True,0
2013-10-10,72094613,71796476,36544934,35251542,298137,52244531,7061370,45183161,11880117,33303044,2371763531,2351913449,1.3088,4.987,3.328,4.48,4.939,5.1,4.6681,4.22,4.27,4.4,True,0
2013-10-11,82674757,82372594,43296363,39076231,302163,27666473,3564500,24101973,12783375,11318598,2426771815,2371763531,1.3122,4.985,3.1,4.26,4.847,5.0,4.6679,4.22,4.27,4.4,True,0
2013-10-12,81901136,81593823,42609762,38984061,307313,31322983,6943327,24379656,6524375,17855281,2477349968,2426771815,1.3082,4.98,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,True,0
2013-10-13,71149981,70845311,32822745,38022566,304670,31850475,4273577,27576898,10611383,16965515,2516649474,2477349968,1.308,4.978,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,False,1
2013-10-14,130315300,130020702,75489865,54530837,294598,40652625,7783174,32869451,14896890,17972561,2606312149,2516649474,1.2777,4.96,3.113,3.855,4.65,4.85,4.6661,4.22,4.27,4.4,True,0
2013-10-15,85704304,85388933,41656981,43731952,315371,35099198,7010950,28088248,10639886,17448362,2656917255,2606312149,1.3456,4.889,3.117,3.845,3.883,4.713,4.6655,4.22,4.27,4.4,True,0
2013-10-16,100948091,100610077,49684423,50925654,338014,51261982,8108405,43153577,8534326,34619251,2706603364,2656917255,1.313,4.899,3.055,3.314,3.357,4.857,4.6654,4.22,4.27,4.4,True,0
2013-10-17,87203217,86867001,35808629,51058372,336216,23274764,5594997,17679767,4512267,13167500,2770531817,2706603364,1.2908,4.889,3.038,3.35,3.391,4.73,4.6681,4.22,4.27,4.4,True,0
2013-10-18,98151450,97805294,49716816,48088478,346156,15938355,4197983,11740372,9265936,2474436,2852744912,2770531817,1.2917,4.878,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,True,0
2013-10-19,53148443,52794624,17807708,34986916,353819,26684697,7939723,18744974,7947251,10797723,2879208658,2852744912,1.2859,4.866,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,False,1
2013-10-20,47766681,47414924,23808286,23606638,351757,50884342,4669856,46214486,3590393,42624093,2876090997,2879208658,1.2857,4.854,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,False,2
2013-10-21,106030290,105669458,38771841,66897617,360832,45781403,15776938,30004465,12306385,17698080,2936339884,2876090997,1.34,4.888,3.06,3.548,3.67,4.683,4.6775,4.22,4.27,4.4,True,0
2013-10-22,145611496,145262654,80208449,65054205,348842,96172537,17065810,79106727,39792495,39314232,2985778843,2936339884,1.2698,4.846,3.052,3.558,3.6,4.707,4.6813,4.22,4.27,4.4,True,0
2013-10-23,106093112,105727597,55822529,49905068,365515,73788462,12090715,61697747,24671186,37026561,3018083493,2985778843,1.273,4.825,3.78,3.992,3.871,4.814,4.6843,4.22,4.27,4.4,True,0
2013-10-24,69530830,69158484,20287230,48871254,372346,58183921,7363228,50820693,24085834,26734859,3029430402,3018083493,1.2811,4.819,4.088,4.68,4.882,5.4,4.6876,4.2201,4.27,4.4,True,0
2013-10-25,69936453,69558797,26323562,43235235,377656,52225802,11129979,41095823,15388480,25707343,3047141053,3029430402,1.2758,4.811,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,True,0
2013-10-26,55752506,55373965,14759985,40613980,378541,49357211,4620277,44736934,3869269,40867665,3053536348,3047141053,1.2731,4.804,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,False,1
2013-10-27,68007543,67634331,36450109,31184222,373212,46520570,11575035,34945535,22721764,12223771,3075023321,3053536348,1.2729,4.797,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,False,2
2013-10-28,129993375,129632574,67259575,62372999,360801,55089464,12996206,42093258,16468981,25624277,3149927232,3075023321,1.2428,4.743,4.434,4.894,6.396,6.477,4.6975,4.2201,4.27,4.4,True,0
2013-10-29,102050144,101671985,50888468,50783517,378159,43052468,5155539,37896929,22855535,15041394,3208924908,3149927232,1.289,4.754,4.446,4.947,6.452,6.162,4.6966,4.22,4.27,4.4,True,0
2013-10-30,109663260,109262475,57375950,51886525,400785,63908701,7047733,56860968,22494418,34366550,3254679467,3208924908,1.2902,4.763,5.23,5.593,6.349,5.924,4.6965,4.2195,4.27,4.4,True,0
2013-10-31,90926701,90518963,33377309,57141654,407738,55607833,9967594,45640239,9460426,36179813,3289998335,3254679467,1.2965,4.772,4.59,4.993,5.51,5.334,4.6948,4.22,4.27,4.4,True,0
2013-11-01,150904945,150490888,97662024,52828864,414057,66933119,8910803,58022316,20798916,37223400,3373970161,3289998335,1.2919,4.781,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,True,0
2013-11-02,62132300,61714348,23865307,37849041,417952,26705506,9215431,17490075,7143672,10346403,3409396955,3373970161,1.2911,4.79,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,False,1
2013-11-03,68707870,68291959,30519678,37772281,415911,30895754,8410792,22484962,14516429,7968533,3447209071,3409396955,1.291,4.8,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,False,2
2013-11-04,300027403,299614565,237955005,61659560,412838,130970051,7225760,123744291,8145407,115598884,3616266423,3447209071,1.2888,4.825,4.0971,4.423,4.5,4.605,4.6921,4.22,4.27,4.4,True,0
2013-11-05,180904814,180478015,64596913,115881102,426799,82689864,12228633,70461231,14710337,55750894,3714481373,3616266423,1.2938,4.828,3.9147,4.232,4.557,4.6155,4.693,4.22,4.27,4.4,True,0
2013-11-06,181474910,181014598,38422060,142592538,460312,131707820,19226831,112480989,49152384,63328605,3764248463,3714481373,1.2917,4.829,3.66,3.866,4.55,4.869,4.6926,4.22,4.27,4.4,True,0
2013-11-07,167963464,167495139,39534732,127960407,468325,83306452,13495904,69810548,18133158,51677390,3848905475,3764248463,1.2935,4.827,3.73,3.891,4.552,4.974,4.6933,4.2204,4.27,4.4,True,0
2013-11-08,231749471,231270156,124106307,107163849,479315,92856307,10129799,82726508,13757231,68969277,3987798639,3848905475,1.292,4.827,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,True,0
2013-11-09,126467028,125980699,36733104,89247595,486329,45885771,10908069,34977702,7874091,27103611,4068379896,3987798639,1.2891,4.826,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,False,1
2013-11-10,164813471,164328004,48481839,115846165,485467,85293644,21808380,63485264,25181514,38303750,4147899723,4068379896,1.2889,4.825,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,False,2
2013-11-11,147986439,147425452,69094170,78331282,560987,227124951,180655486,46469465,7155297,39314168,4068761211,4147899723,1.4962,4.938,3.6,3.78,4.458,5.269,4.6962,4.22,4.27,4.4,True,0
