feature,target,metric,eta_squared,effect_label,users,groups,analysis_grain
constellation,total_redeem_amt,active_day_rate,0.00034514618868110715,negligible,28041,12,user
constellation,total_redeem_amt,log1p_positive_day_amount,0.0008118102474825999,negligible,28041,12,user
constellation,consume_amt,log1p_amount_per_exposure_day,0.0004125192112439649,negligible,28041,12,user
constellation,consume_amt,active_day_rate,0.0003054485945664616,negligible,28041,12,user
constellation,consume_amt,log1p_positive_day_amount,0.0004994542583575391,negligible,28041,12,user
constellation,transfer_amt,log1p_amount_per_exposure_day,0.0006363356420131094,negligible,28041,12,user
constellation,transfer_amt,active_day_rate,0.000535760515729792,negligible,28041,12,user
constellation,transfer_amt,log1p_positive_day_amount,0.0006751392104575938,negligible,28041,12,user
constellation,tftobal_amt,log1p_amount_per_exposure_day,0.00034133655961404437,negligible,28041,12,user
constellation,tftobal_amt,active_day_rate,0.0004360533361829618,negligible,28041,12,user
constellation,tftobal_amt,log1p_positive_day_amount,0.00040959182383772834,negligible,28041,12,user
constellation,tftocard_amt,log1p_amount_per_exposure_day,0.0006851111675674786,negligible,28041,12,user
constellation,tftocard_amt,active_day_rate,0.0004986861464499351,negligible,28041,12,user
constellation,tftocard_amt,log1p_positive_day_amount,0.000719123215953252,negligible,28041,12,user
constellation,tBalance,log1p_amount_per_exposure_day,0.0007072051852318902,negligible,28041,12,user
constellation,tBalance,active_day_rate,0.0005007215767027093,negligible,28041,12,user
constellation,tBalance,log1p_positive_day_amount,0.0007666617797549595,negligible,28041,12,user
constellation,yBalance,log1p_amount_per_exposure_day,0.0007018998989708551,negligible,28041,12,user
constellation,yBalance,active_day_rate,0.0005242887147270812,negligible,28041,12,user
constellation,yBalance,log1p_positive_day_amount,0.0007484240006556974,negligible,28041,12,user
