left,right,relationship_type,daily_spearman,daily_log_pearson,user_spearman,prediction_use,max_abs_correlation
consume_amt,tBalance,balance_behavior_relationship,0.8461515222790704,0.9484617287737653,0.7648242478185552,descriptive_only_same_day; use lagged form for forecasting,0.9484617287737653
consume_amt,yBalance,balance_behavior_relationship,0.8479670731605814,0.9484419704701478,0.7655184631093581,descriptive_only_same_day; use lagged form for forecasting,0.9484419704701478
total_purchase_amt,total_redeem_amt,behavioral_flow_relationship,0.8483877063514841,0.8924435649021505,0.9438504149446775,descriptive_only_same_day; use lagged form for forecasting,0.9438504149446775
direct_purchase_amt,total_redeem_amt,behavioral_flow_relationship,0.8470917430429058,0.891214071346935,0.9438386085100062,descriptive_only_same_day; use lagged form for forecasting,0.9438386085100062
share_amt,consume_amt,behavioral_flow_relationship,0.7881044502035963,0.941699576299227,0.7408856583352948,descriptive_only_same_day; use lagged form for forecasting,0.941699576299227
total_redeem_amt,consume_amt,mechanical_component_relationship,0.8891095924405017,0.9308399549176201,0.8147070161737495,descriptive_only_same_day; use lagged form for forecasting,0.9308399549176201
total_redeem_amt,yBalance,balance_behavior_relationship,0.8326813955588903,0.9190647869467559,0.8950635172830623,descriptive_only_same_day; use lagged form for forecasting,0.9190647869467559
total_redeem_amt,tBalance,balance_behavior_relationship,0.8261148012635334,0.9185207010744987,0.8946601513301938,descriptive_only_same_day; use lagged form for forecasting,0.9185207010744987
total_purchase_amt,share_amt,mechanical_component_relationship,0.7635290831861091,0.8588215765568906,0.9158424583190895,descriptive_only_same_day; use lagged form for forecasting,0.9158424583190895
direct_purchase_amt,share_amt,behavioral_flow_relationship,0.7609880209709305,0.8562155177780078,0.9154398279235454,descriptive_only_same_day; use lagged form for forecasting,0.9154398279235454
share_amt,total_redeem_amt,behavioral_flow_relationship,0.8217711354691655,0.9151652831914493,0.8517829985295476,descriptive_only_same_day; use lagged form for forecasting,0.9151652831914493
purchase_bank_amt,total_redeem_amt,behavioral_flow_relationship,0.861882186330793,0.9117500409071851,0.8741256610776615,descriptive_only_same_day; use lagged form for forecasting,0.9117500409071851
purchase_bank_amt,share_amt,behavioral_flow_relationship,0.7924018756325296,0.9085813571240576,0.8279425319300949,descriptive_only_same_day; use lagged form for forecasting,0.9085813571240576
purchase_bank_amt,consume_amt,behavioral_flow_relationship,0.7892452000188661,0.903920112514926,0.7076630115806737,descriptive_only_same_day; use lagged form for forecasting,0.903920112514926
direct_purchase_amt,purchase_bal_amt,mechanical_component_relationship,0.8851005527573284,0.9016248810362326,0.6944770337256314,descriptive_only_same_day; use lagged form for forecasting,0.9016248810362326
total_purchase_amt,purchase_bal_amt,behavioral_flow_relationship,0.8843852143040564,0.900576977381834,0.6944084467904512,descriptive_only_same_day; use lagged form for forecasting,0.900576977381834
purchase_bank_amt,transfer_amt,behavioral_flow_relationship,0.8616606949803617,0.8982854569589677,0.786106175335924,descriptive_only_same_day; use lagged form for forecasting,0.8982854569589677
transfer_amt,yBalance,balance_behavior_relationship,0.8198577091474848,0.8966669345937727,0.7838483284557876,descriptive_only_same_day; use lagged form for forecasting,0.8966669345937727
transfer_amt,tBalance,balance_behavior_relationship,0.8134470990181938,0.8961272852965415,0.7833665660348647,descriptive_only_same_day; use lagged form for forecasting,0.8961272852965415
consume_amt,transfer_amt,behavioral_flow_relationship,0.8437279105920955,0.894989691582526,0.6049321305483087,descriptive_only_same_day; use lagged form for forecasting,0.894989691582526
purchase_bank_amt,tBalance,balance_behavior_relationship,0.7275832103082722,0.8938391570108368,0.875930748093015,descriptive_only_same_day; use lagged form for forecasting,0.8938391570108368
share_amt,transfer_amt,behavioral_flow_relationship,0.8170131560005043,0.8935319837362586,0.7630938007056091,descriptive_only_same_day; use lagged form for forecasting,0.8935319837362586
purchase_bank_amt,yBalance,balance_behavior_relationship,0.7239661347894323,0.8913470760731677,0.8746606024848076,descriptive_only_same_day; use lagged form for forecasting,0.8913470760731677
total_purchase_amt,transfer_amt,behavioral_flow_relationship,0.8493108181801087,0.8836244176384039,0.8413390616652799,descriptive_only_same_day; use lagged form for forecasting,0.8836244176384039
direct_purchase_amt,transfer_amt,behavioral_flow_relationship,0.8480618659097221,0.8825498472169415,0.8413374656495025,descriptive_only_same_day; use lagged form for forecasting,0.8825498472169415
total_purchase_amt,consume_amt,behavioral_flow_relationship,0.7700895120994081,0.8643981109677509,0.7708793857202426,descriptive_only_same_day; use lagged form for forecasting,0.8643981109677509
direct_purchase_amt,consume_amt,behavioral_flow_relationship,0.7686395683739329,0.8626135257353966,0.7709127420920113,descriptive_only_same_day; use lagged form for forecasting,0.8626135257353966
purchase_bank_amt,tftocard_amt,behavioral_flow_relationship,0.860058441097764,0.7753625386370788,0.7386916915146435,descriptive_only_same_day; use lagged form for forecasting,0.860058441097764
consume_amt,tftocard_amt,behavioral_flow_relationship,0.8488936365269215,0.8031604732118818,0.5528007575934117,descriptive_only_same_day; use lagged form for forecasting,0.8488936365269215
total_purchase_amt,tftocard_amt,behavioral_flow_relationship,0.8468239121384677,0.7056976647210701,0.7528021964263168,descriptive_only_same_day; use lagged form for forecasting,0.8468239121384677
direct_purchase_amt,tftocard_amt,behavioral_flow_relationship,0.8455391359493536,0.7040166221951683,0.7528913262195583,descriptive_only_same_day; use lagged form for forecasting,0.8455391359493536
transfer_amt,tftobal_amt,mechanical_component_relationship,0.7928083284446992,0.8369417207638811,0.6584502227653993,descriptive_only_same_day; use lagged form for forecasting,0.8369417207638811
tftocard_amt,yBalance,balance_behavior_relationship,0.8245340208512396,0.7951515511700636,0.7188325145882535,descriptive_only_same_day; use lagged form for forecasting,0.8245340208512396
share_amt,tftocard_amt,behavioral_flow_relationship,0.8211043262773701,0.8058768019494414,0.7150274590281019,descriptive_only_same_day; use lagged form for forecasting,0.8211043262773701
total_redeem_amt,tftobal_amt,behavioral_flow_relationship,0.7777751232382806,0.8201950939782052,0.5914562312627926,descriptive_only_same_day; use lagged form for forecasting,0.8201950939782052
tftocard_amt,tBalance,balance_behavior_relationship,0.8181153070828512,0.7941999779943834,0.7182657667814227,descriptive_only_same_day; use lagged form for forecasting,0.8181153070828512
purchase_bal_amt,purchase_bank_amt,behavioral_flow_relationship,0.7641651964799367,0.7744088525687185,0.501888550232824,descriptive_only_same_day; use lagged form for forecasting,0.7744088525687185
purchase_bal_amt,total_redeem_amt,behavioral_flow_relationship,0.7201744248238011,0.7521332265864512,0.6880020457646489,descriptive_only_same_day; use lagged form for forecasting,0.7521332265864512
purchase_bal_amt,transfer_amt,behavioral_flow_relationship,0.7187722628092749,0.7497790039168175,0.6200800662510505,descriptive_only_same_day; use lagged form for forecasting,0.7497790039168175
purchase_bal_amt,tftocard_amt,behavioral_flow_relationship,0.7159530418493935,0.5510425587338086,0.5071286951647781,descriptive_only_same_day; use lagged form for forecasting,0.7159530418493935
total_purchase_amt,tftobal_amt,behavioral_flow_relationship,0.6804462441879714,0.7125482965091456,0.552362296586822,descriptive_only_same_day; use lagged form for forecasting,0.7125482965091456
direct_purchase_amt,tftobal_amt,behavioral_flow_relationship,0.6794714972846115,0.7120910474676121,0.5523393456772202,descriptive_only_same_day; use lagged form for forecasting,0.7120910474676121
tftobal_amt,tftocard_amt,behavioral_flow_relationship,0.7110995971568352,0.482904490203685,0.3825348237654635,descriptive_only_same_day; use lagged form for forecasting,0.7110995971568352
purchase_bank_amt,tftobal_amt,behavioral_flow_relationship,0.6953450440655269,0.7109837479288154,0.4656407668781844,descriptive_only_same_day; use lagged form for forecasting,0.7109837479288154
purchase_bal_amt,consume_amt,behavioral_flow_relationship,0.6648370381627902,0.7047860303821507,0.6590004990660818,descriptive_only_same_day; use lagged form for forecasting,0.7047860303821507
tftobal_amt,yBalance,balance_behavior_relationship,0.6584373715866518,0.6941906817095511,0.5013217981895858,descriptive_only_same_day; use lagged form for forecasting,0.6941906817095511
tftobal_amt,tBalance,balance_behavior_relationship,0.6558377382419227,0.6935735187431233,0.5008961029153451,descriptive_only_same_day; use lagged form for forecasting,0.6935735187431233
consume_amt,tftobal_amt,behavioral_flow_relationship,0.6593080776677839,0.6910084436661417,0.4727748967808551,descriptive_only_same_day; use lagged form for forecasting,0.6910084436661417
purchase_bal_amt,yBalance,balance_behavior_relationship,0.5982297955035252,0.6627376433084611,0.6861205186436415,descriptive_only_same_day; use lagged form for forecasting,0.6861205186436415
purchase_bal_amt,tBalance,balance_behavior_relationship,0.6050252796077831,0.6674745156965062,0.6859654226707612,descriptive_only_same_day; use lagged form for forecasting,0.6859654226707612
share_amt,tftobal_amt,behavioral_flow_relationship,0.6560689400690956,0.6855670262707607,0.48278294702176877,descriptive_only_same_day; use lagged form for forecasting,0.6855670262707607
purchase_bal_amt,share_amt,behavioral_flow_relationship,0.6162034255479252,0.6685066644914657,0.6666127789241416,descriptive_only_same_day; use lagged form for forecasting,0.6685066644914657
purchase_bal_amt,tftobal_amt,behavioral_flow_relationship,0.5676880341340212,0.6191828967811988,0.6009815557529593,descriptive_only_same_day; use lagged form for forecasting,0.6191828967811988
