rate_feature,flow_target,spearman_level,pearson_log_level,same_day_diff1_corr,same_day_diff7_corr,lag1_level_spearman,lagged_diff1_corr,days,same_day_use,prediction_rule,abs_same_day_diff1,abs_lagged_diff1
Interest_1_W,profit_share_per_10000_opening_balance,0.24615238426150132,0.3117091182350926,0.05268904881326018,-0.04234902612548777,0.26033520853893927,-0.054887065870347466,427,descriptive_only,use lagged/published values only,0.05268904881326018,0.054887065870347466
mfd_7daily_yield,total_outflow_amt,0.0401406359571021,0.09823939418342502,-0.028889173733040327,-0.043082379858970274,0.044461800114277646,-0.052167714749806256,427,descriptive_only,use lagged/published values only,0.028889173733040327,0.052167714749806256
Interest_1_Y,profit_share_inflow_amt,0.8405268785054202,0.9088685932958461,0.0716128813465507,0.1810665360074694,0.8437640244955573,0.04705658233191118,427,descriptive_only,use lagged/published values only,0.0716128813465507,0.04705658233191118
Interest_O_N,direct_inflow_amt,-0.39589947905075895,-0.2787909285742783,-0.005930924395166355,-0.03482802358958997,-0.38903992034914453,0.04469390995060516,427,descriptive_only,use lagged/published values only,0.005930924395166355,0.04469390995060516
Interest_2_W,direct_inflow_amt,-0.15609801213578764,-0.07991252303837411,-7.332489227538179e-05,0.026473704197735703,-0.1402305625420011,0.04131388681417918,427,descriptive_only,use lagged/published values only,7.332489227538179e-05,0.04131388681417918
mfd_daily_yield,transfer_outflow_amt,0.0860792810172774,0.1394930903935673,0.10098519091878196,0.0950040825135359,0.07935573274226927,-0.04042598105994119,427,descriptive_only,use lagged/published values only,0.10098519091878196,0.04042598105994119
Interest_3_M,total_outflow_amt,0.5492293920476612,0.4409963604142512,0.006440492933998493,-0.00602496325967881,0.5549730223229206,0.04026267795321787,427,descriptive_only,use lagged/published values only,0.006440492933998493,0.04026267795321787
Interest_3_M,transfer_outflow_amt,0.5650427130466628,0.44175288492454895,0.020073290471223984,7.007151787476935e-05,0.569988330932292,0.03952392417511008,427,descriptive_only,use lagged/published values only,0.020073290471223984,0.03952392417511008
mfd_7daily_yield,transfer_outflow_amt,0.07290058925129606,0.10490231527522731,-0.028983220800492582,-0.0293151754268939,0.07824331821756866,-0.0356290192838096,427,descriptive_only,use lagged/published values only,0.028983220800492582,0.0356290192838096
Interest_1_M,direct_inflow_amt,-0.1528618177278795,-0.0423520836553605,0.057654772914519856,0.07030194742632408,-0.14571061598604165,0.033385206402323266,427,descriptive_only,use lagged/published values only,0.057654772914519856,0.033385206402323266
Interest_1_W,transfer_outflow_amt,-0.3636296517153185,-0.20325519276808096,0.041928721259675276,0.07926776081303884,-0.3622709586636923,-0.03143768888203425,427,descriptive_only,use lagged/published values only,0.041928721259675276,0.03143768888203425
Interest_3_M,direct_inflow_amt,0.7011738285767053,0.5707863582059306,-0.05651655954402839,-0.04338681370560806,0.7049888840837604,0.031061799479308566,427,descriptive_only,use lagged/published values only,0.05651655954402839,0.031061799479308566
Interest_1_W,direct_inflow_amt,-0.2183665784905787,-0.1076937220598864,-0.02212552279546025,-0.06272741596753056,-0.2045992745807556,0.029727955848719376,427,descriptive_only,use lagged/published values only,0.02212552279546025,0.029727955848719376
Interest_1_W,total_outflow_amt,-0.3773353162200478,-0.2083704676666716,0.04221067546349919,0.04624014051462483,-0.37503048730370736,-0.02948831447180659,427,descriptive_only,use lagged/published values only,0.04221067546349919,0.02948831447180659
Interest_1_Y,direct_inflow_amt,0.7509320565870441,0.78588033277518,0.013880325943872424,0.013542270510842362,0.7485909848350422,-0.028041464897398036,427,descriptive_only,use lagged/published values only,0.013880325943872424,0.028041464897398036
mfd_daily_yield,direct_inflow_amt,0.32301578970984957,0.34054898634471326,0.1687953843637132,0.23991092216949542,0.31958223367775235,0.024512655394968937,427,descriptive_only,use lagged/published values only,0.1687953843637132,0.024512655394968937
Interest_O_N,total_outflow_amt,-0.47251180941181886,-0.35760585642978954,0.06114594129871903,-0.04942112288741466,-0.4801233309345426,0.02420184446644971,427,descriptive_only,use lagged/published values only,0.06114594129871903,0.02420184446644971
Interest_6_M,direct_inflow_amt,0.7621150968746325,0.7914639432668495,0.01390546055580763,0.0074335640546457,0.7592052628312834,-0.022339296982434892,427,descriptive_only,use lagged/published values only,0.01390546055580763,0.022339296982434892
Interest_9_M,direct_inflow_amt,0.737840613325346,0.7887128161868361,0.017034169198428116,0.008593009677431065,0.7316868147219593,-0.02197931626330254,427,descriptive_only,use lagged/published values only,0.017034169198428116,0.02197931626330254
Interest_O_N,transfer_outflow_amt,-0.46913093109512183,-0.3591251433527806,0.06366045692218442,-0.015862230898326137,-0.4769774279533752,0.021686905416999764,427,descriptive_only,use lagged/published values only,0.06366045692218442,0.021686905416999764
Interest_O_N,profit_share_per_10000_opening_balance,-0.0879545497690562,-0.020033437445479186,-0.03983707445729539,-0.12117653985906897,-0.07458606654792296,-0.01727326758603535,427,descriptive_only,use lagged/published values only,0.03983707445729539,0.01727326758603535
mfd_7daily_yield,direct_inflow_amt,0.30611695202028794,0.3124818999875718,0.07828350431231948,0.08893196461936843,0.3087562487512519,-0.01339050373057094,427,descriptive_only,use lagged/published values only,0.07828350431231948,0.01339050373057094
Interest_1_M,transfer_outflow_amt,-0.2885739502225163,-0.1395858247211239,0.05333988467751888,0.20785293608202982,-0.2814969426191325,0.010131029772912867,427,descriptive_only,use lagged/published values only,0.05333988467751888,0.010131029772912867
Interest_3_M,profit_share_per_10000_opening_balance,0.7606021399553011,0.8380978011421434,0.05751201268781172,0.3484504756119005,0.7528127678129953,-0.010126009973072963,427,descriptive_only,use lagged/published values only,0.05751201268781172,0.010126009973072963
Interest_2_W,total_outflow_amt,-0.2547348403904191,-0.15973017417606813,0.05808028036507875,0.11602311556346433,-0.25779115169822125,-0.008542973239293029,427,descriptive_only,use lagged/published values only,0.05808028036507875,0.008542973239293029
Interest_2_W,transfer_outflow_amt,-0.24205472844600148,-0.15472150837340817,0.05873245793325247,0.14039086009263194,-0.24776459883699348,-0.005940286684954185,427,descriptive_only,use lagged/published values only,0.05873245793325247,0.005940286684954185
Interest_1_M,total_outflow_amt,-0.3100671629407059,-0.15076187102248223,0.07629959124732798,0.18361277471207135,-0.3025751431741046,0.003598456411806939,427,descriptive_only,use lagged/published values only,0.07629959124732798,0.003598456411806939
