report_date,observed_users,opening_balance_amt,closing_balance_amt,direct_inflow_amt,balance_purchase_inflow_amt,bankcard_purchase_inflow_amt,profit_share_inflow_amt,total_inflow_amt,total_outflow_amt,transfer_outflow_amt,consume_outflow_amt,transfer_to_balance_amt,transfer_to_card_amt,direct_inflow_users,profit_share_users,total_outflow_users,transfer_outflow_users,net_flow_amt,profit_share_per_10000_opening_balance,direct_inflow_share,bankcard_direct_inflow_share,transfer_outflow_share,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,is_shibor_observed,days_since_observation
2013-07-11,658,461373114,501939511,44021031,38701392,5319639,54166,44075197,3508800,2527105,981695,2527105,0,92,475,54,22,40566397,1.1740172618727844,0.9987710548406624,0.12084312609579725,0.720219163246694,1.2616,4.959,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,True,0
2013-07-12,677,501939511,527630842,34126845,28358933,5767912,57059,34183904,8492573,7121501,1371072,7121501,0,73,491,64,27,25691331,1.1367704424448069,0.9983308226000167,0.16901392437537077,0.8385563479995992,1.2487,4.884,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,True,0
2013-07-13,694,527630842,539312730,15103661,8461168,6642493,61056,15164717,3482829,3173175,309654,3173175,0,56,513,46,21,11681888,1.157172688551819,0.9959738121060882,0.4397935705786829,0.9110912422056897,1.2396,4.815,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,False,1
2013-07-14,697,539312730,559143926,22554354,18447507,4106847,60949,22615303,2784107,2192069,592038,2192069,0,56,509,47,20,19831196,1.1301235185010374,0.9973049664645218,0.18208666051796474,0.787350845351849,1.2394,4.745,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,False,2
2013-07-15,714,559143926,594164538,48069686,28401224,19668462,58869,48128555,13107943,11586149,1521794,11586149,0,87,504,74,24,35020612,1.052841625610362,0.9987768384070538,0.40916560178903605,0.8839029129131856,1.1985,4.682,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,True,0
2013-07-16,739,594164538,632922404,50559618,39657799,10901819,63229,50622847,11864981,10335294,1529687,10335294,0,82,518,59,23,38757866,1.0641665053393006,0.9987509789799061,0.21562304920895564,0.8710754783340993,1.2214,4.634,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4,True,0
2013-07-17,765,632922404,651026573,28946382,25167271,3779111,69300,29015682,10911513,8802015,2109498,8802015,0,91,550,62,21,18104169,1.0949209502149335,0.9976116363558162,0.13055555613133274,0.8066722735884565,1.1829,4.582,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,True,0
2013-07-18,772,651026573,663495722,24160561,12633212,11527349,73944,24234505,11765356,8569946,3195410,8569946,0,83,568,65,22,12469149,1.1358061723849173,0.9969488132726457,0.4771142938278627,0.7284051583309507,1.1896,4.543,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,True,0
2013-07-19,788,663495722,687931077,33603190,25296006,8307184,76934,33680124,9244769,8040517,1204252,8040517,0,86,590,81,28,24435355,1.1595251853033048,0.9977157447520086,0.24721414841864717,0.8697369290676706,1.2032,4.518,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,True,0
2013-07-20,810,687931077,703769013,20360981,14965131,5395850,78098,20439079,4601143,2820281,1780862,2820281,0,68,601,62,20,15837936,1.1352590777055418,0.9961789863427799,0.26500933329292925,0.6129522599058538,1.1964,4.494,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,False,1
2013-07-21,817,703769013,722230076,21064648,14155152,6909496,77746,21142394,2681331,1920032,761299,1920032,0,68,600,63,27,18461063,1.1047090531677046,0.9963227437725359,0.32801383626253805,0.7160742183639394,1.1962,4.471,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,False,2
2013-07-22,840,722230076,743534705,40374049,33166661,7207388,74847,40448896,19144267,18539036,605231,18539036,0,94,596,73,36,21304629,1.0363318073726966,0.9981495910296291,0.17851536267764473,0.9683857835873267,1.1547,4.447,3.1035,3.925,4.099,4.806,4.6515,4.2173,4.27,4.4,True,0
2013-07-23,869,743534705,777266801,58056583,48105087,9951496,79564,58136147,24404051,22230820,2173231,22230820,0,90,613,72,29,33732096,1.0700778250828251,0.9986314194506216,0.17141029467752175,0.9109479405693751,1.1826,4.426,3.1355,3.959,4.11,4.99,4.6517,4.2173,4.27,4.4,True,0
2013-07-24,885,777266801,789430727,48337561,38512434,9825127,84957,48422518,36258592,35546545,712047,35546545,0,92,655,88,40,12163926,1.0930223687760465,0.998245506357187,0.20326071065108148,0.9803619787552699,1.1805,4.424,3.23,4.011,4.131,5.293,4.661,4.2189,4.27,4.4,True,0
2013-07-25,906,789430727,808651309,57347209,42064761,15282448,86209,57433418,38212836,36655225,1557611,36655225,0,98,670,98,47,19220582,1.0920400872615135,0.998498974934767,0.26648983039436147,0.9592385396362625,1.1645,4.411,3.3495,4.132,4.258,5.468,4.6601,4.2185,4.27,4.4,True,0
2013-07-26,925,808651309,814180757,44633279,33299638,11333641,88538,44721817,39192369,38156919,1035450,38156919,0,82,680,80,36,5529448,1.0948847669521302,0.9980202503847283,0.25392803876228764,0.9735803161069442,1.1777,4.397,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,True,0
2013-07-27,918,814180757,816316315,17102400,10482577,6619823,92051,17194451,15058893,13136779,1922114,13136779,0,45,694,76,31,2135558,1.130596605343253,0.994646470538664,0.3870698264571054,0.8723602060257682,1.1728,4.384,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,False,1
2013-07-28,936,816316315,844888486,36164421,32964064,3200357,90961,36255382,7683211,6521339,1161872,6521339,0,65,688,72,29,28572171,1.1142861943167215,0.9974911035277466,0.0884946284637047,0.8487778091737946,1.1726,4.371,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,False,2
2013-07-29,952,844888486,879801198,53423360,41820041,11603319,88716,53512076,18599364,17397032,1202332,17397032,0,99,685,80,32,34912712,1.0500320630479039,0.9983421312228664,0.21719560506864413,0.9353562842256327,1.1515,4.369,3.703,5.057,5.5,5.988,4.671,4.2201,4.27,4.4,True,0
2013-07-30,970,879801198,914233859,47387817,33779762,13608055,93426,47481243,13048582,11729935,1318647,11729935,0,94,695,79,31,34432661,1.0618989859570527,0.9980323598520788,0.2871635762415475,0.8989432721501845,1.1958,4.377,3.641,4.972,5.34,5.889,4.667,4.2203,4.27,4.4,True,0
2013-07-31,977,914233859,959269456,54465204,46575247,7889957,104433,54569637,9534040,8342598,1191442,8342598,0,100,733,92,38,45035597,1.1423007250489505,0.9980862434543957,0.1448623418357159,0.8750328297342994,1.2088,4.392,3.699,4.971,5.453,5.34,4.6645,4.2199,4.27,4.4,True,0
2013-08-01,990,959269456,993774950,53261431,29717147,23544284,108531,53369962,18864468,16928891,1935577,16928891,0,105,737,86,34,34505494,1.1313922206233573,0.9979664403733322,0.4420512847279676,0.8973956222884207,1.2026,4.413,3.549,4.545,5.36,4.846,4.6635,4.2193,4.27,4.4,True,0
2013-08-02,1011,993774950,991688717,37949861,25198904,12750957,114675,38064536,40150769,39009834,1140935,39009834,0,96,750,103,47,-2086233,1.1539332924421168,0.996987353267619,0.335994827490936,0.9715837323065967,1.222,4.437,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,True,0
2013-08-03,1011,991688717,992582709,21479421,10093238,11386183,116368,21595789,20701797,18976400,1725397,18976400,0,73,757,78,26,893992,1.1734327315130682,0.9946115420927664,0.5300972963842927,0.9166547232590485,1.2154,4.46,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,False,1
2013-08-04,1027,992582709,1030063998,45630463,41159712,4470751,114791,45745254,8263965,6874923,1389042,6874923,0,79,746,77,24,37481289,1.1564880080940438,0.9974906467892822,0.09797733150329857,0.8319157934478183,1.2152,4.483,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,False,2
2013-08-05,1045,1030063998,1057898694,43520180,18112798,25407382,112023,43632203,15797507,14039700,1757807,14039700,0,103,742,98,42,27834696,1.0875343689082122,0.9974325614500831,0.5838069144015489,0.888728835505501,1.1875,4.503,3.1,4.356,4.31,4.575,4.655,4.2198,4.27,4.4,True,0
2013-08-06,1061,1057898694,1092363491,50749514,38122413,12627101,116670,50866184,16401387,13445379,2956008,13445379,0,106,758,102,46,34464797,1.1028466209638783,0.997706334723281,0.24881225463558135,0.8197708523065763,1.204,4.507,3.1,4.066,4.549,4.6005,4.6538,4.2193,4.27,4.4,True,0
2013-08-07,1084,1092363491,1106562866,43781998,29774898,14007100,126083,43908081,29708706,28155731,1552975,28155731,0,107,801,102,34,14199375,1.1542220244341725,0.9971284784684623,0.31992829564333725,0.9477266024309507,1.2118,4.509,3.1005,3.873,4.361,4.58,4.6515,4.2197,4.27,4.4,True,0
2013-08-08,1095,1106562866,1121504665,44364177,32476695,11887482,129313,44493490,29551691,28414824,1136867,28414824,0,93,808,96,45,14941799,1.1686005736613974,0.9970936647136469,0.2679522714914784,0.9615295449590346,1.2155,4.516,3.1641,3.7585,4.42,4.595,4.6504,4.2198,4.27,4.4,True,0
2013-08-09,1102,1121504665,1124798836,33294291,26619531,6674760,130895,33425186,30131015,26630182,3500833,26630182,0,87,815,102,34,3294171,1.167137365407214,0.9960839410138211,0.20047761341426373,0.8838129747703488,1.2174,4.513,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,True,0
2013-08-10,1104,1124798836,1118799735,20482505,15003071,5479434,132802,20615307,26614408,25323965,1290443,25323965,0,72,819,65,29,-5999101,1.180673341308472,0.9935580876869794,0.2675177669918792,0.9515133682477551,1.2128,4.512,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,False,1
2013-08-11,1117,1118799735,1158946598,55388879,49401320,5987559,130664,55519543,15372680,14447072,925608,14447072,0,87,816,83,30,40146863,1.1678944489560503,0.9976465224146388,0.10810038238903517,0.9397887681263124,1.2126,4.511,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,False,2
2013-08-12,1135,1158946598,1224880431,94394024,77433832,16960192,126478,94520502,28586669,26523677,2062992,26523677,0,105,813,84,34,65933833,1.091318618288916,0.9986618987698563,0.17967442515216853,0.9278337745471499,1.1886,4.511,2.9645,3.648,4.168,4.5,4.65,4.22,4.27,4.4,True,0
2013-08-13,1158,1224880431,1244810922,48590757,28460439,20130318,130162,48720919,28790328,25144251,3646077,25144251,0,102,826,95,31,19930591,1.0626506612872813,0.9973284165678402,0.41428286453738516,0.8733575734184064,1.2143,4.517,3.2253,3.702,4.16,4.524,4.65,4.2198,4.27,4.4,True,0
2013-08-14,1167,1244810922,1260320406,30394880,22991641,7403239,146287,30541167,15031683,12970840,2060843,12970840,0,115,864,107,42,15509484,1.1751744575390222,0.9952101699322753,0.24356862076770824,0.8629000491827828,1.2201,4.521,3.435,3.855,4.16,4.505,4.65,4.2198,4.27,4.4,True,0
2013-08-15,1174,1260320406,1250082301,42271280,30267955,12003325,149942,42421222,52659327,46247162,6412165,46247162,0,100,875,102,42,-10238105,1.1897133402440523,0.9964654012088572,0.28395934544683765,0.8782330621126244,1.2184,4.523,3.283,3.994,4.119,4.517,4.6502,4.2198,4.27,4.4,True,0
2013-08-16,1180,1250082301,1258025993,41535972,29961502,11574470,147564,41683536,33739844,32151103,1588741,32151103,0,98,881,105,45,7943692,1.180434279262706,0.9964598972601557,0.27866134925167996,0.9529120229482981,1.219,4.524,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,True,0
2013-08-17,1183,1258025993,1271021529,17522875,10792404,6730471,147644,17670519,4674983,3119222,1555761,3119222,0,74,892,78,35,12995536,1.1736164500696449,0.9916446143998374,0.38409627415592473,0.667215688270952,1.215,4.525,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,False,1
2013-08-18,1203,1271021529,1315506321,59555804,48363051,11192753,147288,59703092,15218300,14169170,1049130,13607144,562026,79,890,89,36,44484792,1.1588159337936752,0.9975329920936088,0.1879372327842304,0.9310612880545133,1.2148,4.526,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,False,2
2013-08-19,1202,1315506321,1396351270,109039743,93558910,15480833,144466,109184209,28339260,25512259,2827001,24585884,926375,107,885,100,45,80844949,1.0981779235403613,0.9986768599477603,0.1419742249392499,0.9002443606502075,1.1987,4.532,3.403,4.092,5.156,4.925,4.6573,4.2198,4.27,4.4,True,0
2013-08-20,1226,1396351270,1419895554,53525266,32336915,21188351,150243,53675509,30131225,27800069,2331156,22614527,5185542,112,896,106,42,23544284,1.0759685132810457,0.9972009021842718,0.3958569958344532,0.9226332152111306,1.2288,4.54,3.854,4.428,5.467,5.218,4.6636,4.2198,4.2701,4.4,True,0
2013-08-21,1224,1419895554,1428096658,38016570,22840717,15175853,167876,38184446,29983342,28495876,1487466,28056688,439188,79,933,94,46,8201104,1.1823123153465414,0.9956035501994712,0.3991904845702808,0.9503902533613497,1.2307,4.545,3.517,4.219,5.4,5.04,4.658,4.2198,4.27,4.4,True,0
2013-08-22,1251,1428096658,1492226723,88961196,75601493,13359703,169541,89130737,25000672,22989335,2011337,4751853,18237482,101,939,105,44,64130065,1.1871815472030884,0.998097839132644,0.15017449855327933,0.9195486825314135,1.2187,4.546,3.357,4.115,5.046,4.968,4.662,4.2198,4.27,4.4,True,0
2013-08-23,1266,1492226723,1504424975,37707135,21923609,15783526,171440,37878575,25680323,22751910,2928413,16963681,5788229,95,941,121,50,12198252,1.1488870783344094,0.9954739585636472,0.41858194742188715,0.8859666601545472,1.2236,4.548,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,True,0
2013-08-24,1261,1504424975,1534475645,44188538,32022342,12166196,178730,44367268,14316598,11164601,3151997,5951141,5213460,74,955,96,35,30050670,1.1880286685615544,0.9959715797691217,0.2753247007176386,0.7798361733702378,1.2204,4.551,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,False,1
2013-08-25,1276,1534475645,1559664125,43128521,28531519,14597002,177767,43306288,18117808,16171529,1946279,8774008,7397521,76,949,84,39,25188480,1.1584869435969445,0.995895122666713,0.3384535722892051,0.892576463996086,1.2202,4.554,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,False,2
2013-08-26,1294,1559664125,1613522680,74325753,50885562,23440191,170788,74496541,20637986,16719816,3918170,7070763,9649053,119,944,125,53,53858555,1.0950306368045748,0.9977074371815464,0.3153710531530034,0.8101476568498496,1.185,4.546,3.037,4.023,5.196,5.007,4.6619,4.2198,4.2701,4.4,True,0
2013-08-27,1310,1613522680,1598653075,45089370,33855884,11233486,178658,45268028,60137633,58424047,1713586,5683840,52740207,102,957,113,47,-14869605,1.1072543461242206,0.9960533292945741,0.24913823369011365,0.9715055961713691,1.2131,4.538,3.006,4.209,5.382,4.974,4.6609,4.2198,4.2701,4.4,True,0
2013-08-28,1321,1598653075,1611558533,46414328,26923896,19490432,187991,46602319,33696861,30503011,3193850,27302135,3200876,98,984,123,44,12905458,1.1759336840483667,0.9959660591139252,0.4199227445456067,0.9052181744762516,1.213,4.528,3.098,4.259,5.015,4.929,4.6586,4.2198,4.2701,4.4,True,0
2013-08-29,1338,1611558533,1623132231,47312464,36868023,10444441,206202,47518666,35944968,26326089,9618879,6450910,19875179,108,1003,111,40,11573698,1.2795191473197332,0.9956606105061956,0.22075453521084845,0.7323998452300751,1.3194,4.583,2.957,4.318,4.4,4.903,4.658,4.2198,4.2701,4.4,True,0
2013-08-30,1347,1623132231,1658990323,56266206,37466526,18799680,222638,56488844,20630752,12943644,7687108,6673809,6269835,103,1018,116,42,35858092,1.3716565770050315,0.9960587262150381,0.3341202710557737,0.6273956470418529,1.4113,4.686,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,True,0
2013-08-31,1366,1658990323,1684633610,47459849,25669538,21790311,195454,47655303,22012016,18429852,3582164,16052130,2377722,77,1025,101,32,25643287,1.1781503321041373,0.9958985886628399,0.4591314860694142,0.8372632474917336,1.2201,4.685,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,False,1
2013-09-01,1381,1684633610,1681533463,56045782,36564187,19481595,194020,56239802,59339949,50355011,8984938,4349781,46005230,105,1023,127,47,-3100147,1.151704435007681,0.9965501301018094,0.34760144840159424,0.8485853434083672,1.2199,4.685,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,False,2
2013-09-02,1410,1681533463,1804592678,140622201,103991419,36630782,222538,140844739,17785524,12881860,4903664,6708784,6173076,135,1028,131,47,123059215,1.3234229641970556,0.9984199764820466,0.26049074569669123,0.7242890341605904,1.4475,4.829,3.0188,3.742,4.15,4.6,4.6561,4.2198,4.2701,4.4,True,0
2013-09-03,1412,1804592678,1845772414,80314060,51070577,29243483,193820,80507880,39328144,35501642,3826502,13629313,21872329,133,1032,108,42,41179736,1.0740373845183029,0.9975925337991759,0.36411411650712217,0.9027032142681333,1.2339,4.84,3.0006,3.75,3.763,4.523,4.6558,4.2198,4.2701,4.4,True,0
2013-09-04,1419,1845772414,1851686522,33149101,22039123,11109978,217607,33366708,27452600,22329399,5123201,4079727,18249672,117,1073,131,43,5914108,1.1789481647329463,0.9934783197671164,0.33515171346577394,0.8133801170016683,1.2349,4.852,3.005,3.498,3.747,4.581,4.6566,4.2198,4.2701,4.4,True,0
2013-09-05,1429,1851686522,1868602123,38491932,18051917,20440015,224573,38716505,21800904,17774814,4026090,5870621,11904193,115,1077,122,46,16915601,1.2128024767250534,0.9941995539111808,0.5310207604024656,0.8153246305749523,1.2374,4.807,2.89,3.456,3.705,4.574,4.6566,4.22,4.2703,4.4,True,0
2013-09-06,1440,1868602123,1874107406,38648043,17570388,21077655,275143,38923186,33417903,30457817,2960086,16081369,14376448,104,1097,104,40,5505283,1.4724536412185163,0.9929311285052564,0.5453744449621938,0.9114221499775136,1.5058,4.859,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,True,0
2013-09-07,1445,1874107406,1887839165,33848786,19377542,14471244,227397,34076183,20344424,15670305,4674119,8126616,7543689,89,1098,107,32,13731759,1.2133616209614402,0.993326805411275,0.42752623388029337,0.7702506101917656,1.2415,4.87,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,False,1
2013-09-08,1456,1887839165,1911716952,38571047,23022708,15548339,225862,38796909,14919122,11460371,3458751,6590099,4870272,104,1090,105,42,23877787,1.1964048854765654,0.9941783506515944,0.40310907297901455,0.7681665851381871,1.2381,4.88,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,False,2
2013-09-09,1478,1911716952,1915408239,49051334,28145783,20905551,261139,49312473,45621186,39980383,5640803,22470137,17510246,121,1092,160,54,3691287,1.3659919672041492,0.9947044026771887,0.42619739964666403,0.8763556256516435,1.44,4.876,2.92,3.554,3.714,4.598,4.6564,4.2198,4.27,4.4,True,0
2013-09-10,1484,1915408239,1972964019,94427415,59214774,35212641,256728,94684143,37128363,32390424,4737939,14101974,18288450,151,1090,137,50,57555780,1.3403304568327066,0.9972885850590631,0.37290696774872,0.872390307108342,1.4214,4.979,2.8955,3.625,3.746,4.862,4.6549,4.2198,4.27,4.4,True,0
2013-09-11,1505,1972964019,2000234396,98709145,71068310,27640835,235314,98944459,71674082,66786595,4887487,8915582,57871013,151,1112,143,54,27270377,1.1926928100760261,0.9976217566665355,0.2800230414314702,0.9318095626254411,1.2527,4.989,3.014,3.482,3.767,5.138,4.6559,4.2198,4.27,4.4,True,0
2013-09-12,1513,2000234396,2023660860,68334304,43875535,24458769,239380,68573684,45147220,39012488,6134732,6425604,32586884,119,1132,144,65,23426464,1.1967597421517393,0.9965091564863279,0.3579281205527461,0.8641171704481472,1.2598,5.001,2.967,3.494,3.8,5.374,4.6563,4.2198,4.27,4.4,True,0
2013-09-13,1514,2023660860,2034804131,71385620,41601351,29784269,270326,71655946,60512675,53999244,6513431,23753632,30245612,112,1152,140,57,11143271,1.335826596952614,0.9962274449631856,0.4172306551375473,0.8923625339649917,1.3805,4.932,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,True,0
2013-09-14,1516,2034804131,2029466914,30726657,14850336,15876321,248786,30975443,36312660,33862795,2449865,9025416,24837379,79,1146,107,48,-5337217,1.2226533070666348,0.9919682827457867,0.516695356738613,0.9325341354778196,1.2613,4.943,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,False,1
2013-09-15,1534,2029466914,2041505882,36813279,22142657,14670622,246404,37059683,25020715,22027123,2993592,15270867,6756256,103,1140,129,45,12038968,1.2141316436361473,0.9933511573749835,0.39851440563064217,0.8803554574679421,1.2611,4.956,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,False,2
2013-09-16,1559,2041505882,2157977503,161382323,134330619,27051704,273887,161656210,45184589,40599101,4585488,10354185,30244916,133,1135,128,47,116471621,1.3415929996326115,0.9983057440230722,0.1676249510920722,0.898516549525326,1.4143,4.942,3.008,3.469,3.592,5.67,4.6569,4.22,4.27,4.4,True,0
2013-09-17,1569,2157977503,2175921520,75960756,50504307,25456449,244059,76204815,58260798,55185698,3075100,18859824,36325874,117,1133,129,50,17944017,1.1309617438583648,0.9967973283577947,0.3351263249670659,0.94721836800107,1.2495,4.848,3.493,3.583,3.64,5.836,4.6579,4.22,4.27,4.4,True,0
2013-09-18,1569,2175921520,2171644907,42645589,27232465,15413124,281019,42926608,47203221,44415081,2788140,23818473,20596608,125,1176,143,58,-4276613,1.2914941895514687,0.9934535009148638,0.36142363985170894,0.9409332680920228,1.3366,4.894,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,True,0
2013-09-19,1567,2171644907,2185004443,24509091,12890601,11618490,268957,24778048,11418512,9220631,2197881,6772365,2448266,66,1176,108,41,13359536,1.238494374163354,0.9891453515628027,0.47404818073424265,0.8075159880727016,1.2594,4.893,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,1
2013-09-20,1584,2185004443,2198181951,28094290,18054480,10039810,271472,28365762,15188254,12725336,2462918,3457926,9267410,71,1186,102,40,13177508,1.2424322562350048,0.9904295890235559,0.35736122891875893,0.8378406102505265,1.2592,4.827,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,2
2013-09-21,1587,2198181951,2203992112,32133842,18601415,13532427,272498,32406340,26596179,23940338,2655841,17880107,6060231,96,1186,123,49,5810161,1.2396517034271655,0.9915912133243063,0.4211269539446917,0.9001420091209342,1.2569,4.825,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,False,3
2013-09-22,1592,2203992112,2223544226,67243692,36029859,31213833,270477,67514169,47962055,43166303,4795752,22340098,20826205,123,1176,163,60,19552114,1.2272140110091283,0.9959937742846247,0.4641897562673983,0.9000094553913505,1.2567,4.822,3.573,3.991,4.007,5.948,4.6617,4.22,4.27,4.4,True,0
2013-09-23,1616,2223544226,2219916507,54396879,22328835,32068044,261281,54658160,58285879,44621053,13664826,30024517,14596536,130,1165,154,51,-3627719,1.1750654515652526,0.9952197256548702,0.5895199244794909,0.7655551184189914,1.2346,4.724,3.815,4.232,4.35,6.004,4.6717,4.22,4.27,4.4,True,0
2013-09-24,1637,2219916507,2237486574,73973408,48700610,25272798,277451,74250859,56680792,49804461,6876331,22552195,27252266,108,1171,150,61,17570067,1.2498262845702601,0.9962633294249161,0.34164706863309585,0.8786832230572925,1.3281,4.767,3.6144,4.44,4.8033,6.1089,4.6731,4.22,4.27,4.4,True,0
2013-09-25,1639,2237486574,2209922580,46973702,20104663,26869039,300466,47274168,74838162,70959210,3878952,41253857,29705353,107,1201,159,73,-27563994,1.3428728623066144,0.9936441821673097,0.5720017340766542,0.9481687965559603,1.3895,4.796,3.347,3.916,5.1825,5.856,4.6715,4.22,4.27,4.4,True,0
